qt6-multimedia-ffmpeg 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
qt6-tools 6.11.1-1
qt6-translations 6.11.1-1
qt6-virtualkeyboard 6.11.1-1
qt6-wayland 6.11.1-1
raptor 2.0.16-9
rasqal 1:0.9.33-8
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
redland 1:1.0.17-10
reflector 2023-5
resvg 0.47.0-2
rnnoise 1:0.2-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
runc 1.4.2-1
rust 1:1.95.0-1
sane 1.4.0-4
sbc 2.2-1
scdoc 1.11.4-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
sdl2-compat 2.32.68-1
sdl3 3.4.8-1
seatd 0.9.3-1
sed 4.10-1
serd 0.32.8-1
shaderc 2026.2-1
shadow 4.18.0-1
shared-mime-info 2.4-3
shiboken6 6.11.1-1
simde 0.8.2-1
slang 2.3.3-4
slurp 1.5.0-2
snappy 1.2.2-3
sndio 1.10.0-1
solid 6.26.0-1
sonnet 6.26.0-1
sord 0.16.22-1
sotavpn 1.8.0+1160-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-18
spandsp 0.0.6-7
speedometer 2.9-3
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.350.0-1
sqlite 3.53.1-1
sratom 0.6.22-1
srt 1.5.5-1
stow 2.4.1-1
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
svt-hevc 1.5.1-4
systemd 260.1-2
systemd-libs 260.1-2
systemd-sysvcompat 260.1-2
taglib 2.3-1
tar 1.35-2
tdb 1.4.15-1
telegram-desktop 6.8.2-3
terminus-font 4.49.1-8
tesseract 5.5.2-1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
tesseract-data-rus 2:4.1.0-5
texinfo 7.3-1
tinysparql 3.11.1-1
tmux 3.6_b-2
tomlplusplus 3.4.0-2
totem-pl-parser 3.26.7-1
tpm2-tss 4.1.3-1
translate-shell 0.9.7.1-2
tree 2.3.2-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
twolame 0.4.0-4
tzdata 2026b-1
uchardet 0.0.8-4
udisks2 2.11.1-2
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.2-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42.1-1
util-linux-libs 2.42.1-1
